run_start config=shared/config_abx.yml days=365 hospitals=6 susceptible=290 seed_carriers=30 micro_steps_per_day=12 micro_workers=64 seed=42
day=001 susceptible=0301 carriers=0048 avg_resistant_fraction=0.2900
day=002 susceptible=0322 carriers=0063 avg_resistant_fraction=0.1707
day=003 susceptible=0337 carriers=0087 avg_resistant_fraction=0.1070
day=004 susceptible=0330 carriers=0119 avg_resistant_fraction=0.1198
day=005 susceptible=0303 carriers=0172 avg_resistant_fraction=0.0922
day=006 susceptible=0244 carriers=0236 avg_resistant_fraction=0.0902
day=007 susceptible=0199 carriers=0281 avg_resistant_fraction=0.0889
day=008 susceptible=0150 carriers=0330 avg_resistant_fraction=0.0823
day=009 susceptible=0107 carriers=0373 avg_resistant_fraction=0.0738
day=010 susceptible=0089 carriers=0391 avg_resistant_fraction=0.0774
day=011 susceptible=0067 carriers=0413 avg_resistant_fraction=0.0765
day=012 susceptible=0056 carriers=0424 avg_resistant_fraction=0.0768
day=013 susceptible=0048 carriers=0432 avg_resistant_fraction=0.0725
day=014 susceptible=0038 carriers=0442 avg_resistant_fraction=0.0714
day=015 susceptible=0032 carriers=0448 avg_resistant_fraction=0.0724
day=016 susceptible=0032 carriers=0448 avg_resistant_fraction=0.0737
day=017 susceptible=0028 carriers=0452 avg_resistant_fraction=0.0759
day=018 susceptible=0023 carriers=0457 avg_resistant_fraction=0.0744
day=019 susceptible=0025 carriers=0455 avg_resistant_fraction=0.0757
day=020 susceptible=0026 carriers=0454 avg_resistant_fraction=0.0796
day=021 susceptible=0026 carriers=0454 avg_resistant_fraction=0.0784
day=022 susceptible=0021 carriers=0459 avg_resistant_fraction=0.0775
day=023 susceptible=0024 carriers=0456 avg_resistant_fraction=0.0834
day=024 susceptible=0024 carriers=0456 avg_resistant_fraction=0.0862
day=025 susceptible=0021 carriers=0459 avg_resistant_fraction=0.0874
day=026 susceptible=0024 carriers=0456 avg_resistant_fraction=0.0894
day=027 susceptible=0014 carriers=0466 avg_resistant_fraction=0.0955
day=028 susceptible=0016 carriers=0464 avg_resistant_fraction=0.0955
day=029 susceptible=0015 carriers=0465 avg_resistant_fraction=0.0967
day=030 susceptible=0019 carriers=0461 avg_resistant_fraction=0.0995
day=031 susceptible=0019 carriers=0461 avg_resistant_fraction=0.1031
day=032 susceptible=0021 carriers=0459 avg_resistant_fraction=0.1069
day=033 susceptible=0021 carriers=0459 avg_resistant_fraction=0.1104
day=034 susceptible=0016 carriers=0464 avg_resistant_fraction=0.1171
