INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 133 packages in 64ms
Audited 126 packages in 666ms
run_start config=config/simulation_abx.yml days=1000 hospitals=6 susceptible=300 seed_carriers=40 micro_steps_per_day=12 micro_workers=300 seed=42
day=001 susceptible=0277 carriers=0063 avg_resistant_fraction=0.2412
day=002 susceptible=0243 carriers=0095 avg_resistant_fraction=0.1256
day=003 susceptible=0199 carriers=0133 avg_resistant_fraction=0.0850
day=004 susceptible=0161 carriers=0164 avg_resistant_fraction=0.0808
day=005 susceptible=0122 carriers=0188 avg_resistant_fraction=0.0574
day=006 susceptible=0083 carriers=0220 avg_resistant_fraction=0.0530
day=007 susceptible=0069 carriers=0231 avg_resistant_fraction=0.0478
day=008 susceptible=0049 carriers=0251 avg_resistant_fraction=0.0573
day=009 susceptible=0041 carriers=0259 avg_resistant_fraction=0.0604
day=010 susceptible=0030 carriers=0270 avg_resistant_fraction=0.0563
day=011 susceptible=0023 carriers=0277 avg_resistant_fraction=0.0580
day=012 susceptible=0018 carriers=0282 avg_resistant_fraction=0.0611
day=013 susceptible=0015 carriers=0285 avg_resistant_fraction=0.0589
day=014 susceptible=0013 carriers=0287 avg_resistant_fraction=0.0571
day=015 susceptible=0011 carriers=0289 avg_resistant_fraction=0.0630
day=016 susceptible=0009 carriers=0291 avg_resistant_fraction=0.0548
day=017 susceptible=0009 carriers=0291 avg_resistant_fraction=0.0584
day=018 susceptible=0008 carriers=0292 avg_resistant_fraction=0.0615
day=019 susceptible=0007 carriers=0293 avg_resistant_fraction=0.0634
day=020 susceptible=0009 carriers=0291 avg_resistant_fraction=0.0638
day=021 susceptible=0009 carriers=0291 avg_resistant_fraction=0.0603
day=022 susceptible=0009 carriers=0291 avg_resistant_fraction=0.0622
day=023 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0604
day=024 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0650
day=025 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0676
day=026 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0676
day=027 susceptible=0007 carriers=0293 avg_resistant_fraction=0.0712
day=028 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0738
day=029 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0755
day=030 susceptible=0007 carriers=0293 avg_resistant_fraction=0.0723
day=031 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0738
day=032 susceptible=0007 carriers=0293 avg_resistant_fraction=0.0756
day=033 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0765
day=034 susceptible=0009 carriers=0291 avg_resistant_fraction=0.0769
day=035 susceptible=0007 carriers=0293 avg_resistant_fraction=0.0801
day=036 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0847
day=037 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0852
day=038 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0863
day=039 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0876
day=040 susceptible=0003 carriers=0297 avg_resistant_fraction=0.0878
day=041 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0854
day=042 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0857
day=043 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0855
day=044 susceptible=0003 carriers=0297 avg_resistant_fraction=0.0856
day=045 susceptible=0003 carriers=0297 avg_resistant_fraction=0.0864
day=046 susceptible=0002 carriers=0298 avg_resistant_fraction=0.0879
day=047 susceptible=0002 carriers=0298 avg_resistant_fraction=0.0884
day=048 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0905
day=049 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0915
day=050 susceptible=0004 carriers=0296 avg_resistant_fraction=0.0916
day=051 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0927
day=052 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0934
day=053 susceptible=0006 carriers=0294 avg_resistant_fraction=0.0952
day=054 susceptible=0005 carriers=0295 avg_resistant_fraction=0.0960
day=055 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1006
day=056 susceptible=0006 carriers=0294 avg_resistant_fraction=0.1027
day=057 susceptible=0005 carriers=0295 avg_resistant_fraction=0.1036
day=058 susceptible=0007 carriers=0293 avg_resistant_fraction=0.1066
day=059 susceptible=0008 carriers=0292 avg_resistant_fraction=0.1079
day=060 susceptible=0009 carriers=0291 avg_resistant_fraction=0.1083
day=061 susceptible=0012 carriers=0288 avg_resistant_fraction=0.1108
day=062 susceptible=0008 carriers=0292 avg_resistant_fraction=0.1152
day=063 susceptible=0007 carriers=0293 avg_resistant_fraction=0.1183
day=064 susceptible=0008 carriers=0292 avg_resistant_fraction=0.1209
day=065 susceptible=0005 carriers=0295 avg_resistant_fraction=0.1216
day=066 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1243
day=067 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1237
day=068 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1246
day=069 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1242
day=070 susceptible=0005 carriers=0295 avg_resistant_fraction=0.1256
day=071 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1246
day=072 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1237
day=073 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1258
day=074 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1277
day=075 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1285
day=076 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1310
day=077 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1340
day=078 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1345
day=079 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1388
day=080 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1400
day=081 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1406
day=082 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1419
day=083 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1443
day=084 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1453
