INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 132 packages in 36ms
Audited 124 packages in 383ms
run_start config=/workspace/shared/config_realistic.yml days=365 hospitals=15 susceptible=9800 seed_carriers=200 micro_steps_per_day=12 micro_workers=300 seed=42
day=001 susceptible=9793 carriers=0232 avg_resistant_fraction=0.3006
day=002 susceptible=9747 carriers=0276 avg_resistant_fraction=0.2075
day=003 susceptible=9637 carriers=0315 avg_resistant_fraction=0.1616
day=004 susceptible=9342 carriers=0361 avg_resistant_fraction=0.1162
day=005 susceptible=8749 carriers=0409 avg_resistant_fraction=0.0774
day=006 susceptible=7940 carriers=0467 avg_resistant_fraction=0.0606
day=007 susceptible=6999 carriers=0514 avg_resistant_fraction=0.0572
day=008 susceptible=5949 carriers=0577 avg_resistant_fraction=0.0592
day=009 susceptible=4919 carriers=0658 avg_resistant_fraction=0.0451
day=010 susceptible=4032 carriers=0736 avg_resistant_fraction=0.0373
day=011 susceptible=3362 carriers=0792 avg_resistant_fraction=0.0317
day=012 susceptible=2735 carriers=0860 avg_resistant_fraction=0.0300
day=013 susceptible=2231 carriers=0926 avg_resistant_fraction=0.0262
day=014 susceptible=1849 carriers=0997 avg_resistant_fraction=0.0232
day=015 susceptible=1526 carriers=1055 avg_resistant_fraction=0.0215
day=016 susceptible=1301 carriers=1092 avg_resistant_fraction=0.0183
day=017 susceptible=1148 carriers=1098 avg_resistant_fraction=0.0173
day=018 susceptible=1008 carriers=1122 avg_resistant_fraction=0.0154
day=019 susceptible=0920 carriers=1126 avg_resistant_fraction=0.0153
day=020 susceptible=0847 carriers=1123 avg_resistant_fraction=0.0144
day=021 susceptible=0816 carriers=1106 avg_resistant_fraction=0.0130
day=022 susceptible=0766 carriers=1100 avg_resistant_fraction=0.0126
day=023 susceptible=0713 carriers=1098 avg_resistant_fraction=0.0102
day=024 susceptible=0703 carriers=1073 avg_resistant_fraction=0.0064
day=025 susceptible=0700 carriers=1055 avg_resistant_fraction=0.0065
day=026 susceptible=0693 carriers=1043 avg_resistant_fraction=0.0072
day=027 susceptible=0682 carriers=1030 avg_resistant_fraction=0.0069
day=028 susceptible=0668 carriers=1015 avg_resistant_fraction=0.0065
day=029 susceptible=0683 carriers=0982 avg_resistant_fraction=0.0071
day=030 susceptible=0704 carriers=0950 avg_resistant_fraction=0.0057
day=031 susceptible=0690 carriers=0933 avg_resistant_fraction=0.0059
day=032 susceptible=0688 carriers=0903 avg_resistant_fraction=0.0035
day=033 susceptible=0669 carriers=0887 avg_resistant_fraction=0.0050
day=034 susceptible=0645 carriers=0887 avg_resistant_fraction=0.0058
day=035 susceptible=0615 carriers=0891 avg_resistant_fraction=0.0060
day=036 susceptible=0618 carriers=0877 avg_resistant_fraction=0.0064
day=037 susceptible=0614 carriers=0862 avg_resistant_fraction=0.0048
day=038 susceptible=0598 carriers=0861 avg_resistant_fraction=0.0040
day=039 susceptible=0590 carriers=0846 avg_resistant_fraction=0.0039
